2025-05-13 22:24:10 | INFO | MovieWebsite.Controllers.HomeController | Bắt đầu tải trang chủ 
2025-05-13 22:24:11 | INFO | MovieWebsite.Controllers.HomeController | Lấy danh sách phim thành công - Tổng số: 21 
2025-05-13 22:24:11 | INFO | MovieWebsite.Controllers.HomeController | Lấy 3 phim nổi bật thành công 
2025-05-13 22:24:20 | INFO | MovieWebsite.Controllers.AccountController | Đăng nhập thử với email: liem8000@gmail.com 
2025-05-13 22:24:21 | INFO | MovieWebsite.Controllers.AccountController | Đăng nhập thành công cho user: liem8000@gmail.com, Role: User 
2025-05-13 22:24:21 | INFO | MovieWebsite.Controllers.HomeController | Bắt đầu tải trang chủ 
2025-05-13 22:24:21 | INFO | MovieWebsite.Controllers.HomeController | Lấy danh sách phim thành công - Tổng số: 21 
2025-05-13 22:24:21 | INFO | MovieWebsite.Controllers.HomeController | Lấy 3 phim nổi bật thành công 
2025-05-13 22:24:23 | INFO | MovieWebsite.Controllers.AccountController | Người dùng đăng xuất: liem8000@gmail.com 
2025-05-13 22:24:59 | INFO | MovieWebsite.Controllers.AccountController | Đăng nhập thử với email: admin@example.com 
2025-05-13 22:25:00 | INFO | MovieWebsite.Controllers.AccountController | Đăng nhập thành công cho user: admin@example.com, Role: admin 
2025-05-13 22:25:00 | INFO | MovieWebsite.Controllers.AdminController | Bắt đầu tải dữ liệu tổng quan cho trang admin 
2025-05-13 22:25:00 | INFO | MovieWebsite.Controllers.AdminController | Tải dữ liệu tổng quan thành công 
2025-05-13 22:25:01 | INFO | MovieWebsite.Controllers.AdminController | Bắt đầu tải danh sách phim - SearchTerm: (null), SortOrder: (null) 
2025-05-13 22:25:01 | INFO | MovieWebsite.Controllers.AdminController | Sắp xếp danh sách phim theo thời gian tạo mới nhất 
2025-05-13 22:25:01 | INFO | MovieWebsite.Controllers.AdminController | Tải danh sách phim thành công - Tổng số: 21 
2025-05-13 22:25:03 | INFO | MovieWebsite.Controllers.AdminController | Bắt đầu tải trang chỉnh sửa phim - MovieId: MV021 
2025-05-13 22:25:03 | INFO | MovieWebsite.Controllers.AdminController | Tải trang chỉnh sửa phim thành công - MovieId: MV021 
2025-05-13 22:25:10 | INFO | MovieWebsite.Controllers.AdminController | Bắt đầu chỉnh sửa phim - MovieId: MV021, Title: Onepiece tap 419 
2025-05-13 22:25:10 | WARN | MovieWebsite.Controllers.AdminController | Chỉnh sửa phim thất bại - Dữ liệu không hợp lệ - MovieId: MV021 
2025-05-13 22:25:16 | INFO | MovieWebsite.Controllers.AdminController | Bắt đầu chỉnh sửa phim - MovieId: MV021, Title: Onepiece tap 419 
2025-05-13 22:25:16 | WARN | MovieWebsite.Controllers.AdminController | Chỉnh sửa phim thất bại - Dữ liệu không hợp lệ - MovieId: MV021 
2025-05-13 22:25:20 | INFO | MovieWebsite.Controllers.AdminController | Bắt đầu tải danh sách phim - SearchTerm: (null), SortOrder: (null) 
2025-05-13 22:25:20 | INFO | MovieWebsite.Controllers.AdminController | Sắp xếp danh sách phim theo thời gian tạo mới nhất 
2025-05-13 22:25:20 | INFO | MovieWebsite.Controllers.AdminController | Tải danh sách phim thành công - Tổng số: 21 
2025-05-13 22:25:26 | INFO | MovieWebsite.Controllers.AdminController | Bắt đầu tải trang chỉnh sửa phim - MovieId: MV021 
2025-05-13 22:25:26 | INFO | MovieWebsite.Controllers.AdminController | Tải trang chỉnh sửa phim thành công - MovieId: MV021 
2025-05-13 22:25:52 | INFO | MovieWebsite.Controllers.AdminController | Bắt đầu chỉnh sửa phim - MovieId: MV021, Title: Onepiece tap 419 
2025-05-13 22:25:52 | WARN | MovieWebsite.Controllers.AdminController | Chỉnh sửa phim thất bại - Dữ liệu không hợp lệ - MovieId: MV021 
2025-05-13 22:25:54 | INFO | MovieWebsite.Controllers.AdminController | Bắt đầu chỉnh sửa phim - MovieId: MV021, Title: Onepiece tap 419 
